insumo;arancel;unidad;cantidad;costo_total;fecha_estimada
insumo 43;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/09 00:00:00.000
insumo 44;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/10 00:00:00.000
insumo 45;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/11 00:00:00.000
insumo 46;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/12 00:00:00.000
insumo 47;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/13 00:00:00.000
insumo 48;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/14 00:00:00.000
insumo 49;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/15 00:00:00.000
insumo 50;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/16 00:00:00.000
insumo 51;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/17 00:00:00.000
insumo 52;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/18 00:00:00.000
insumo 53;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/19 00:00:00.000
insumo 54;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/20 00:00:00.000
insumo 55;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/21 00:00:00.000
insumo 56;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/22 00:00:00.000
insumo 57;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/23 00:00:00.000
insumo 58;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/24 00:00:00.000
insumo 59;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/25 00:00:00.000
insumo 60;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/26 00:00:00.000
insumo 61;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/27 00:00:00.000
insumo 62;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/28 00:00:00.000
insumo 63;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/29 00:00:00.000
insumo 64;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/30 00:00:00.000
insumo 65;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/01 00:00:00.000
insumo 66;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/02 00:00:00.000
insumo 67;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/03 00:00:00.000
insumo 68;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/04 00:00:00.000
insumo 69;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/05 00:00:00.000
insumo 70;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/06 00:00:00.000
insumo 71;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/07 00:00:00.000
insumo 72;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/08 00:00:00.000
insumo 73;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/09 00:00:00.000
insumo 74;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/10 00:00:00.000
insumo 75;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/11 00:00:00.000
insumo 76;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/12 00:00:00.000
insumo 77;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/13 00:00:00.000
insumo 78;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/14 00:00:00.000
insumo 79;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/15 00:00:00.000
insumo 80;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/16 00:00:00.000
insumo 81;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/17 00:00:00.000
insumo 82;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/18 00:00:00.000
insumo 83;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/19 00:00:00.000
insumo 84;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/20 00:00:00.000
insumo 85;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/21 00:00:00.000
insumo 86;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/22 00:00:00.000
insumo 87;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/23 00:00:00.000
insumo 88;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/24 00:00:00.000
insumo 89;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/25 00:00:00.000
insumo 90;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/26 00:00:00.000
insumo 91;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/27 00:00:00.000
insumo 92;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/28 00:00:00.000
insumo 93;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/29 00:00:00.000
insumo 94;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/30 00:00:00.000
insumo 95;100.23.45.67;Kilogramos;25,5;13443,6;2014/12/31 00:00:00.000
insumo 96;100.23.45.67;Kilogramos;25,5;13443,6;2015/01/01 00:00:00.000
insumo 97;100.23.45.67;Kilogramos;25,5;13443,6;2015/01/02 00:00:00.000
insumo 98;100.23.45.67;Kilogramos;25,5;13443,6;2015/01/03 00:00:00.000
insumo 99;100.23.45.67;Kilogramos;25,5;13443,6;2015/01/04 00:00:00.000
insumo 100;100.23.45.67;Kilogramos;25,5;13443,6;2015/01/05 00:00:00.000
